"Affiliate Manager","Gerenciador de Afiliados"
"Add New Affiliate","Adicionar Novo Afiliado"
"No records found.","Nenhum registro encontrado."
"Name","Nome"
"Commission Type","Tipo de Comissão"
"Commission Percent","Comissão Percentual"
"Commission Fixed","Comissão Fixa"
"Created At","Criado Em"
"Updated At","Atualizado Em"
"Affiliate Information","Informações do Afiliado"
"General Information","Informações Gerais"
"New Affiliate","Novo Afiliado"
"Description","Descrição"
"Comment","Comentário"
"Percent Value","Valor Percentual"
"Fixed Value","Valor Fixo"
"Back","Voltar"
"Reset","Redefinir"
"Save Affiliate","Salvar Afiliado"
"The affiliate was successfully %s.","O afiliado foi %s com sucesso."
"created","criado"
"updated","atualizado"
"Edit Affiliate '%s'","Editando o Afiliado '%s'"
"Delete Affiliate","Excluir Afiliado"
"The affiliate was successfully deleted.","O afiliado foi excluído com sucesso."
"Are you sure you want to do this?","Tem certeza que quer fazer isso?"
"Configuration","Configuração"
"Sharing Information","Informações de Compartilhamento"
"Shareable Link","Link Compartilhável"
"This is the URL you will need to share with your affiliates. Note that the most important part in this link is the parameter '%s' and not the URL itself.","Esta é a URL que você precisa compartilhar com seus afiliados. Repare que a parte mais importante deste link é o parâmetro '%s' e não o link em si."
